Workload,Prefetcher,Cycles,mshr_full,prefetch_requested,prefetch_issued,l1D_prefetch_useful,l1D_prefetch_useless,l1D_prefetch_late,l1d_load_miss,l2_prefetch_useful,l2_prefetch_useless,llc_load_miss,PQ_FULL,PQ_MERGED
bwaves_s-1740B,no,310519385,66390281,0,0,0,0,0,10375453,0,0,3703078,0,0
bwaves_s-1740B,vberti,138814491,13870387,224960846,32225915,2843783,135,316885,3371047,329318,472085,721347,192734931,121302
bwaves_s-1740B,gaze,117619523,16316735,6329457,6329457,2977483,267,190698,2480478,178634,19814,546742,0,729
bwaves_s-1740B,gaze_vberti,133828061,12760676,227734999,31769505,2944443,237,339713,3110571,331151,466538,617488,195965494,133019
bwaves_s-2609B,no,307813878,65646219,0,0,0,0,0,10330856,0,0,3703084,0,0
bwaves_s-2609B,vberti,139450407,13965179,224763779,32055023,2843680,169,331515,3423766,334821,457144,715880,192708756,128880
bwaves_s-2609B,gaze,118116832,17102904,6301979,6301979,2952690,360,180359,2516378,185270,17487,564855,0,493
bwaves_s-2609B,gaze_vberti,134722760,12924769,227111485,31587604,2938658,222,351388,3169845,330317,452203,623575,195523881,139208
cactuBSSN_s-3477B,no,85591375,14796089,0,0,0,0,0,17048066,0,0,409064,0,0
cactuBSSN_s-3477B,vberti,85785506,14741018,51846,51846,0,0,0,16895115,246,1727,408969,0,0
cactuBSSN_s-3477B,gaze,80309589,20566094,2806051,2806051,513026,583769,130836,17054743,0,0,316984,0,3486
cactuBSSN_s-3477B,gaze_vberti,80339045,19939549,2485833,2485833,474657,610685,136596,17127732,184,1130,309730,0,139
cam4_s-490B,no,102337704,12979990,0,0,0,0,0,10453077,0,0,476977,0,0
cam4_s-490B,vberti,93019361,23049995,172227965,33133827,1738111,14276,96884,3334818,195433,68175,136966,139094138,1156442
cam4_s-490B,gaze,93459254,16355768,3491778,3491778,1486774,58167,194386,4966451,151589,53310,180145,0,54726
cam4_s-490B,gaze_vberti,92442382,23949859,183259478,37070763,1791219,57924,127792,3280340,206666,114210,109660,146188715,953992
fotonik3d_s-10881B,no,371086769,70264482,0,0,0,0,0,11302204,0,0,3959600,0,0
fotonik3d_s-10881B,vberti,382517833,147348647,282680369,14307189,2341921,269129,146874,4286241,1289855,1016015,1158686,268373180,62773
fotonik3d_s-10881B,gaze,368198348,117397412,4424059,4424059,1940732,754504,158947,7073180,31610,744673,2473734,0,463
fotonik3d_s-10881B,gaze_vberti,382361848,146406499,283972995,14584171,2400804,436729,150794,4232738,1219628,1018478,1167162,269388824,66771
fotonik3d_s-8225B,no,165346265,0,0,0,0,0,0,16728852,0,0,1753970,0,0
fotonik3d_s-8225B,vberti,130288135,7144286,69172380,14325240,2451294,12937,392847,3431733,577330,40082,19784,54847140,356616
fotonik3d_s-8225B,gaze,87751846,42343,5696919,5696919,2419600,10037,283678,3154544,328992,847,110587,0,118717
fotonik3d_s-8225B,gaze_vberti,129550537,7164911,66988919,14303481,2433602,16004,389833,3476210,614972,39388,24093,52685438,293832
gcc_s-1850B,no,323704818,1217437,0,0,0,0,0,13484113,0,0,3555228,0,0
gcc_s-1850B,vberti,121331562,1213906,78343754,63716802,3387199,198877,148365,2662056,112807,858608,76237,14626952,2584173
gcc_s-1850B,gaze,141468798,459684,7480021,7480021,3196921,90310,296982,4280296,58900,126325,282318,0,39060
gcc_s-1850B,gaze_vberti,120500070,1222310,86897184,68471626,3482572,254766,116442,2342399,28594,740269,68685,18425558,2280805
gcc_s-2226B,no,263663563,130980313,0,0,0,0,0,58317104,0,0,14004651,0,0
gcc_s-2226B,vberti,236015289,217048082,1251140294,33614997,2613630,300406,2009120,52388750,2157706,1814304,9227866,1217525297,2471858
gcc_s-2226B,gaze,223519221,107835488,8045945,8045945,3290619,423270,2430300,54400335,1545524,1088796,9135602,0,142410
gcc_s-2226B,gaze_vberti,221503933,191330186,1407188335,42980446,3734001,468212,2501239,50124802,2009844,2434984,8241700,1364207889,2976435
gcc_s-734B,no,245449775,11885,0,0,0,0,0,8823924,0,0,1621456,0,0
gcc_s-734B,vberti,113527830,110690,179850550,83388854,3036850,304353,1954,377506,23275,139108,63543,96461696,1038204
gcc_s-734B,gaze,119667640,235963,3493014,3493014,1489270,110303,4101,5220351,1929,83433,149051,0,161
gcc_s-734B,gaze_vberti,110931666,378745,170695262,79945309,3059483,398703,2923,319274,14548,101180,50001,90749953,1179448
lbm_s-2676B,no,465639031,73316824,0,0,0,0,0,6634036,0,0,1094559,0,0
lbm_s-2676B,vberti,441287665,550287144,371175743,5997101,449917,0,541,3704420,405909,73778,238735,365178642,299862
lbm_s-2676B,gaze,411443901,452875874,960181,960181,939245,0,198848,1978344,829,0,154484,0,0
lbm_s-2676B,gaze_vberti,421425819,861180392,1189069580,5337623,768053,0,81849,1714078,273729,105297,52776,1183731957,293397
mcf_s-1536B,no,572296925,19653,0,0,0,0,0,19229732,0,0,5040748,0,0
mcf_s-1536B,vberti,594245243,28985,18821590,18817323,923423,559557,11442,18394577,1633910,3122367,5001904,4267,24982
mcf_s-1536B,gaze,612186307,20471262,2195797,2195797,764042,1413845,66448,18656999,0,0,5011535,0,2
mcf_s-1536B,gaze_vberti,611279774,15008437,28013750,21860622,1417664,1825011,62216,17994567,1440891,2761334,4999077,6153128,67108
mcf_s-665B,no,295661578,1764037,0,0,0,0,0,8999951,0,0,1722979,0,0
mcf_s-665B,vberti,259217123,1441975,69458851,53285945,1270823,23469,1734,5216978,44952,53901,525075,16172906,1503872
mcf_s-665B,gaze,263927297,3675993,2366259,2366259,1084025,237917,27441,5980029,166527,14576,615048,0,1115
mcf_s-665B,gaze_vberti,261285261,1895438,62082064,52209034,1357422,243718,2580,5007635,46620,70657,536623,9873030,1614319
omnetpp_s-141B,no,376256519,298,0,0,0,0,0,5884700,0,0,1905360,0,0
omnetpp_s-141B,vberti,376084619,288,8357,8357,485,1334,8,5881511,854,3515,1904129,0,9
omnetpp_s-141B,gaze,393919310,1781213,1212707,1212707,171933,940171,51586,5662813,0,0,1821516,0,39
omnetpp_s-141B,gaze_vberti,393378054,1733909,1220247,1219426,171957,947570,50701,5827824,343,1473,1820276,821,16
pop2_s-17B,no,89182255,7051360,0,0,0,0,0,6446815,0,0,450210,0,0
pop2_s-17B,vberti,82786108,11729639,85516818,22393566,1047104,187105,72267,3149736,122043,92216,128003,63123252,1590786
pop2_s-17B,gaze,81171265,8826757,2371057,2371057,909970,297771,88590,3584394,45483,145705,86263,0,14249
pop2_s-17B,gaze_vberti,80345546,11657631,91691227,23943439,1338215,376081,97026,2310795,111564,129025,52395,67747788,1620861
roms_s-294B,no,153686211,177187,0,0,0,0,0,14978588,0,0,2125979,0,0
roms_s-294B,vberti,72384063,6597932,185157122,20932161,2253649,229144,81108,1396861,145941,355559,125171,164224961,542407
roms_s-294B,gaze,81697913,1854873,4925923,4925923,2312461,192220,70072,1774851,1189,835978,201771,0,2051
roms_s-294B,gaze_vberti,71894884,6254244,182722716,20350563,2278302,232798,84172,1353184,134335,376154,117047,162372153,250629
roms_s-523B,no,296689777,191025,0,0,0,0,0,30944596,0,0,3231549,0,0
roms_s-523B,vberti,263115548,130894730,457605334,22696801,2164824,183117,486260,11030527,624330,811482,487173,434908533,825670
roms_s-523B,gaze,241505491,55759954,5097055,5097055,2408095,126543,646632,12192036,258034,539931,581878,0,38663
roms_s-523B,gaze_vberti,261181215,138099850,486010610,23590952,2256885,190835,523721,10097050,608419,795443,415099,462419658,508740
xalancbmk_s-10B,no,340465714,348785,0,0,0,0,0,11561243,0,0,4489462,0,0
xalancbmk_s-10B,vberti,338468327,307246,3857292,1991929,28697,7634,1319,11408515,87784,81338,4388728,1865363,266378
xalancbmk_s-10B,gaze,342085527,3101329,3816455,3816455,528505,2019141,53555,11226474,26088,452687,4148805,0,647
xalancbmk_s-10B,gaze_vberti,343195189,2902609,8174201,6265188,547718,2024095,58405,10830175,86996,545161,4090887,1909013,220641
xalancbmk_s-202B,no,202466519,871,0,0,0,0,0,12617739,0,0,3736803,0,0
xalancbmk_s-202B,vberti,141397168,2529827,90044876,30517845,4117868,67404,32100,1343029,180396,267025,505510,59527031,456051
xalancbmk_s-202B,gaze,109190365,2502368,5853371,5853371,4319494,219826,98983,2514020,188564,11602,357915,0,65030
xalancbmk_s-202B,gaze_vberti,109280363,3461901,98058046,37177290,4877429,361032,97650,437526,74191,498416,42259,60880756,497678